# mask benchmark baseline (regenerated before every release)
#
# Scope: every utility primitive plus every domain rule exposed via Apply.
# Regenerate with 'make bench > bench.txt', strip ANSI and 'PASS'/'ok' trailers,
# and commit in the same PR as any performance-affecting change.
# CI consumes this file via the benchstat regression guard (see issue #17).

goos: darwin
goarch: arm64
pkg: github.com/axonops/mask
cpu: Apple M2
BenchmarkFullRedact-8                                 	1000000000	         0.3048 ns/op	       0 B/op	       0 allocs/op
BenchmarkSameLengthMask_1000-8                        	  378778	      3122 ns/op	    1024 B/op	       1 allocs/op
BenchmarkKeepFirstN_16-8                              	19686990	        61.65 ns/op	      16 B/op	       1 allocs/op
BenchmarkKeepFirstN_1000-8                            	  366936	      3260 ns/op	    1024 B/op	       1 allocs/op
BenchmarkKeepLastN_16-8                               	18333264	        65.29 ns/op	      16 B/op	       1 allocs/op
BenchmarkKeepLastN_1000-8                             	  322216	      3692 ns/op	    1024 B/op	       1 allocs/op
BenchmarkKeepFirstLast_16-8                           	18861423	        63.74 ns/op	      16 B/op	       1 allocs/op
BenchmarkKeepFirstLast_1000-8                         	  293217	      3917 ns/op	    1024 B/op	       1 allocs/op
BenchmarkPreserveDelimiters_Email-8                   	 9898669	       121.8 ns/op	      24 B/op	       1 allocs/op
BenchmarkPreserveDelimitersFunc_Email-8               	11188285	       106.2 ns/op	      24 B/op	       1 allocs/op
BenchmarkReplaceRegexFunc_1000-8                      	   49136	     24805 ns/op	    4631 B/op	      11 allocs/op
BenchmarkDeterministicHash_1000-8                     	 2253969	       532.0 ns/op	    1048 B/op	       2 allocs/op
BenchmarkDeterministicHash_Salted_1000-8              	 1488990	       805.0 ns/op	    1584 B/op	       9 allocs/op
BenchmarkDeterministicHash_SHA512_1000-8              	 1421005	       847.9 ns/op	    1048 B/op	       2 allocs/op
BenchmarkDeterministicHash_SHA3_256_1000-8            	  869469	      1379 ns/op	    1056 B/op	       2 allocs/op
BenchmarkReducePrecision_NumericShort-8               	33798175	        35.62 ns/op	      16 B/op	       1 allocs/op
BenchmarkReducePrecision_NumericLong-8                	  355129	      3405 ns/op	    1024 B/op	       1 allocs/op
